,State,year_month,counts,Census,counts per million
128,CA,2017-02,14406.0,39538223.0,36.43562837915098
129,CA,2017-03,14680.0,39538223.0,37.128628669022376
130,CA,2017-04,14572.0,39538223.0,36.85547527009497
131,CA,2017-05,11398.0,39538223.0,28.827800379394898
132,CA,2017-06,12600.0,39538223.0,31.867896541531465
133,CA,2017-07,11003.0,39538223.0,27.828767114799266
134,CA,2017-08,12313.0,39538223.0,31.142016675863253
135,CA,2017-09,12467.0,39538223.0,31.531513189148637
136,CA,2017-10,11745.0,39538223.0,29.70543213335612
137,CA,2017-11,12057.0,39538223.0,30.494541952479754
138,CA,2017-12,10855.0,39538223.0,27.454445790343186
139,CA,2018-01,12362.0,39538223.0,31.265947384635876
140,CA,2018-02,11489.0,39538223.0,29.05795740997262
141,CA,2018-03,14826.0,39538223.0,37.49789159720203
142,CA,2018-04,13768.0,39538223.0,34.821999966968676
143,CA,2018-05,13594.0,39538223.0,34.38191949091895
144,CA,2018-06,12653.0,39538223.0,32.00194404285696
145,CA,2018-07,14052.0,39538223.0,35.54029223822224
146,CA,2018-08,15338.0,39538223.0,38.79284104396902
147,CA,2018-09,14146.0,39538223.0,35.778036863214616
148,CA,2018-10,14487.0,39538223.0,36.64049342834654
149,CA,2018-11,12475.0,39538223.0,31.551746774254372
150,CA,2018-12,7582.0,39538223.0,19.176380283959652
151,CA,2019-01,12403.0,39538223.0,31.369644508302763
152,CA,2019-02,10745.0,39538223.0,27.176233995139334
153,CA,2019-03,11653.0,39538223.0,29.472745904640174
154,CA,2019-04,11356.0,39538223.0,28.72157405758979
155,CA,2019-05,12445.0,39538223.0,31.47587083010787
156,CA,2019-06,10043.0,39538223.0,25.400736902111156
157,CA,2019-07,9297.0,39538223.0,23.513955091001435
158,CA,2019-08,13716.0,39538223.0,34.6904816637814
159,CA,2019-09,31522.0,39538223.0,79.72538371286944
160,CA,2019-10,35333.0,39538223.0,89.3641578176136
161,CA,2019-11,19828.0,39538223.0,50.148940684562376
162,CA,2019-12,35007.0,39538223.0,88.53963922455493
177,FL,2016-05,0.0,21538187.0,0.0
178,FL,2016-06,1864.0,21538187.0,8.6543960269265
179,FL,2016-07,4998.0,21538187.0,23.205295784645198
180,FL,2016-08,6289.0,21538187.0,29.199300758230024
181,FL,2016-09,5620.0,21538187.0,26.093189737836337
182,FL,2016-10,5324.0,21538187.0,24.718886506092645
183,FL,2016-11,6620.0,21538187.0,30.73610606129476
184,FL,2016-12,6318.0,21538187.0,29.33394533161032
185,FL,2017-01,5523.0,21538187.0,25.64282685446087
186,FL,2017-02,4937.0,21538187.0,22.922077888914234
187,FL,2017-03,6616.0,21538187.0,30.717534396000925
188,FL,2017-04,4359.0,21538187.0,20.238472253955266
189,FL,2017-05,3902.0,21538187.0,18.11665949413477
190,FL,2017-06,4076.0,21538187.0,18.924526934416534
191,FL,2017-07,3255.0,21538187.0,15.112692632857167
192,FL,2017-08,6632.0,21538187.0,30.79182105717626
193,FL,2017-09,4715.0,21538187.0,21.891350465106463
194,FL,2017-10,5429.0,21538187.0,25.206392720055778
195,FL,2017-11,5642.0,21538187.0,26.19533389695242
196,FL,2017-12,5584.0,21538187.0,25.92604475019183
197,FL,2018-01,5134.0,21538187.0,23.836732404635544
198,FL,2018-02,4925.0,21538187.0,22.866362893032733
199,FL,2018-03,5577.0,21538187.0,25.893544335927622
200,FL,2018-04,5494.0,21538187.0,25.508182281080575
201,FL,2018-05,5935.0,21538187.0,27.55570837972574
202,FL,2018-06,4891.0,21538187.0,22.708503738035148
203,FL,2018-07,5004.0,21538187.0,23.23315328258595
204,FL,2018-08,6143.0,21538187.0,28.521434975005093
205,FL,2018-09,4872.0,21538187.0,22.620288327889437
206,FL,2018-10,6760.0,21538187.0,31.38611434657894
207,FL,2018-11,5700.0,21538187.0,26.46462304371301
208,FL,2018-12,5305.0,21538187.0,24.63067109594693
209,FL,2019-01,5046.0,21538187.0,23.4281557681712
210,FL,2019-02,4269.0,21538187.0,19.820609784844006
211,FL,2019-03,4732.0,21538187.0,21.970280042605257
212,FL,2019-04,5250.0,21538187.0,24.37531069815672
213,FL,2019-05,5065.0,21538187.0,23.516371178316913
214,FL,2019-06,5075.0,21538187.0,23.562800341551494
215,FL,2019-07,5165.0,21538187.0,23.980662810662754
216,FL,2019-08,5280.0,21538187.0,24.514598187860475
217,FL,2019-09,4565.0,21538187.0,21.1949130165877
218,FL,2019-10,5780.0,21538187.0,26.836056349589686
219,FL,2019-11,5206.0,21538187.0,24.17102237992455
220,FL,2019-12,4868.0,21538187.0,22.601716662595603
235,GA,2016-05,0.0,10711908.0,0.0
236,GA,2016-06,781.0,10711908.0,7.290951341254985
237,GA,2016-07,1616.0,10711908.0,15.086014555016716
238,GA,2016-08,1957.0,10711908.0,18.269387675846357
239,GA,2016-09,2166.0,10711908.0,20.220487330548398
240,GA,2016-10,2126.0,10711908.0,19.847071128691546
241,GA,2016-11,2316.0,10711908.0,21.62079808751158
242,GA,2016-12,2280.0,10711908.0,21.284723505840418
243,GA,2017-01,1941.0,10711908.0,18.120021195103615
244,GA,2017-02,1780.0,10711908.0,16.6170209826298
245,GA,2017-03,1952.0,10711908.0,18.22271065061425
246,GA,2017-04,1479.0,10711908.0,13.807064063657005
247,GA,2017-05,1521.0,10711908.0,14.199151075606697
248,GA,2017-06,1599.0,10711908.0,14.927312669227554
249,GA,2017-07,1613.0,10711908.0,15.058008339877453
250,GA,2017-08,2050.0,10711908.0,19.137580345163535
251,GA,2017-09,1925.0,10711908.0,17.97065471436088
252,GA,2017-10,2201.0,10711908.0,20.54722650717314
253,GA,2017-11,2009.0,10711908.0,18.75482873826026
